u,v,w
165,140,0.260377
166,167,0.061768
166,191,0.445538
166,165,0.118171
166,141,0.235980
167,168,0.034307
167,192,0.080804
167,166,0.061768
167,142,0.135197
168,169,0.146806
168,193,0.122824
168,167,0.034307
168,143,0.080723
169,170,0.154020
169,194,0.147705
169,168,0.146806
169,144,0.187362
170,171,0.150135
170,195,0.213925
170,169,0.154020
170,145,0.176640
171,172,0.036304
171,196,0.295051
171,170,0.150135
171,146,0.313819
172,173,0.157475
172,197,0.210526
172,171,0.036304
172,147,0.207348
173,174,0.683335
173,198,0.083218
173,172,0.157475
173,148,0.439007
174,199,0.113588
174,173,0.683335
174,149,0.196991
175,176,0.039492
175,200,0.172682
175,150,0.208039
176,177,0.186887
176,201,0.035576
176,175,0.039492
176,151,0.256091
177,178,0.017387
177,202,0.239821
177,176,0.186887
177,152,0.301929
178,179,0.092493
178,203,0.171981
178,177,0.017387
178,153,0.123800
179,180,0.226864
179,204,0.041409
179,178,0.092493
179,154,0.026579
180,181,0.402582
180,205,0.125004
180,179,0.226864
180,155,0.027346
181,182,0.252415
181,206,0.096547
181,180,0.402582
181,156,0.272750
182,183,0.495442
182,207,0.299691
182,181,0.252415
182,157,0.278735
183,184,0.065661
183,208,0.196735
183,182,0.495442
183,158,0.279633
184,185,0.003617
184,209,0.165867
184,183,0.065661
184,159,0.085646
185,186,0.003520
185,210,0.167861
185,184,0.003617
185,160,0.101067
186,187,0.094488
186,211,0.171035
186,185,0.003520
186,161,0.157136
187,188,0.332774
187,212,0.213270
187,186,0.094488
187,162,0.298010
188,189,0.316756
188,213,0.152560
188,187,0.332774
188,163,0.079260
189,190,0.203066
189,214,0.164559
189,188,0.316756
189,164,0.130381
190,191,0.308206
190,215,0.239353
190,189,0.203066
190,165,0.240042
191,192,0.432942
191,216,0.437840
191,190,0.308206
191,166,0.445538
192,193,0.165826
192,217,0.241662
192,191,0.432942
192,167,0.080804
193,194,0.251410
193,218,0.070646
193,192,0.165826
193,168,0.122824
194,195,0.148309
194,219,0.403906
194,193,0.251410
194,169,0.147705
195,196,0.053901
195,220,0.304201
195,194,0.148309
195,170,0.213925
196,197,0.063830
196,221,0.301445
196,195,0.053901
196,171,0.295051
197,198,0.029563
197,222,0.456236
197,196,0.063830
197,172,0.210526
198,199,0.489589
198,223,0.350546
198,197,0.029563
198,173,0.083218
199,224,0.053549
199,198,0.489589
199,174,0.113588
200,201,0.131798
200,225,0.069196
200,175,0.172682
201,202,0.102791
201,226,0.159118
201,200,0.131798
201,176,0.035576
202,203,0.075196
202,227,0.102059
202,201,0.102791
202,177,0.239821
203,204,0.050924
203,228,0.034756
203,202,0.075196
203,178,0.171981
204,205,0.142405
204,229,0.116277
204,203,0.050924
204,179,0.041409
205,206,0.370701
205,230,0.084740
205,204,0.142405
205,180,0.125004
206,207,0.591274
206,231,0.126238
206,205,0.370701
206,181,0.096547
207,208,0.395592
207,232,0.019123
207,206,0.591274
207,182,0.299691
208,209,0.034693
208,233,0.032290
208,207,0.395592
208,183,0.196735
209,210,0.005557
209,234,0.022806
209,208,0.034693
209,184,0.165867
210,211,0.000647
210,235,0.022933
210,209,0.005557
210,185,0.167861
211,212,0.052265
211,236,0.029226
211,210,0.000647
211,186,0.171035
212,213,0.396440
212,237,0.113016
212,211,0.052265
212,187,0.213270
213,214,0.150593
213,238,0.104526
213,212,0.396440
213,188,0.152560
214,215,0.022467
214,239,0.237757
214,213,0.150593
214,189,0.164559
215,216,0.240815
215,240,0.132121
215,214,0.022467
215,190,0.239353
216,217,0.248272
216,241,0.102975
216,215,0.240815
216,191,0.437840
217,218,0.161033
217,242,0.153837
217,216,0.248272
217,192,0.241662
218,219,0.615700
218,243,0.269447
218,217,0.161033
218,193,0.070646
219,220,0.109943
219,244,0.172932
219,218,0.615700
219,194,0.403906
220,221,0.062633
220,245,0.279042
220,219,0.109943
220,195,0.304201
221,222,0.179511
221,246,0.290887
221,220,0.062633
221,196,0.301445
222,223,0.085767
222,247,0.358555
222,221,0.179511
222,197,0.456236
223,224,0.096184
223,248,0.439118
223,222,0.085767
223,198,0.350546
224,249,0.259011
224,223,0.096184
224,199,0.053549
225,226,0.078256
225,250,0.051619
225,200,0.069196
226,227,0.164933
226,251,0.091054
226,225,0.078256
226,201,0.159118
227,228,0.047526
227,252,0.236445
227,226,0.164933
227,202,0.102059
228,229,0.059952
228,253,0.377790
228,227,0.047526
228,203,0.034756
229,230,0.172574
229,254,0.088887
229,228,0.059952
229,204,0.116277
230,231,0.191342
230,255,0.184909
230,229,0.172574
230,205,0.084740
231,232,0.478759
231,256,0.042912
231,230,0.191342
231,206,0.126238
232,233,0.354982
232,257,0.388241
232,231,0.478759
232,207,0.019123
233,234,0.089709
233,258,0.528515
233,232,0.354982
233,208,0.032290
234,235,0.005682
234,259,0.171805
234,233,0.089709
234,209,0.022806
235,236,0.052494
235,260,0.074886
235,234,0.005682
235,210,0.022933
236,237,0.136015
236,261,0.443054
236,235,0.052494
236,211,0.029226
237,238,0.275312
237,262,0.537839
237,236,0.136015
237,212,0.113016
238,239,0.116298
238,263,0.118232
238,237,0.275312
238,213,0.104526
239,240,0.149374
239,264,0.112713
239,238,0.116298
239,214,0.237757
240,241,0.231074
240,265,0.231236
240,239,0.149374
240,215,0.132121
241,242,0.136528
241,266,0.103115
241,240,0.231074
241,216,0.102975
242,243,0.251077
242,267,0.341442
242,241,0.136528
242,217,0.153837
243,244,0.533861
243,268,0.292725
243,242,0.251077
243,218,0.269447
244,245,0.073354
244,269,0.188285
244,243,0.533861
244,219,0.172932
245,246,0.047679
245,270,0.423611
245,244,0.073354
245,220,0.279042
246,247,0.238381
246,271,0.458511
246,245,0.047679
246,221,0.290887
247,248,0.011674
247,272,0.319883
247,246,0.238381
247,222,0.358555
248,249,0.087705
248,273,0.063221
248,247,0.011674
248,223,0.439118
249,274,0.212331
249,248,0.087705
249,224,0.259011
250,251,0.103322
250,275,0.087472
250,225,0.051619
251,252,0.020051
251,276,0.143527
251,250,0.103322
251,226,0.091054
252,253,0.116525
252,277,0.118102
252,251,0.020051
252,227,0.236445
253,254,0.310203
253,278,0.136183
253,252,0.116525
253,228,0.377790
254,255,0.067128
254,279,0.260746
254,253,0.310203
254,229,0.088887
255,256,0.029790
255,280,0.175070
255,254,0.067128
